nom,localisation,description,Type,meublé,location,date de location,disponible à l'achat,prix🥪,prix🐗,superficie,image,id
Grotte A Thunberg,Pré du cerf,"""Parfaite pour les familles de Néandertaliens 
modernes ayant à cœur l’écologie et la lutte 
contre l’érosion, cette grotte est faite pour vous! D’une superficie de 85 m² ,
elle dispose de trois pièces et  d'une cheminée naturelle . Profitez d’une nuit 
animée et en immersion , bercée par le brame des cerfs avoisinants """,Trou,oui,oui,Période du brame du cerf,non,0,3,30,https://www.grottesdefrance.org/grottes-france/uploads/2020/05/visite-grottes-cougnac-lot-1024x680.jpg,1
Palais-Oskopie,Prairie de Mamouth,"“ Logement prestigieux disposant de son propre ParkMouth pour garer votre
monture, ce lieu champêtre saura à coup sûr vous faire passer vos meilleures 
Palais-Oskopie de vacances! “
",Grotte fienté,oui,oui,Toutes les lunes,non,0,6,50,https://www.belambra.fr/les-echappees/wp-inside/uploads/2016/06/visiter-les-grottes-de-sare-un-pied-dans-la-prehistoire-en-plein-coeur-du-pays-basque.jpeg,2
Incruste AC,Baie des coquillages,"“ Pour les amoureux de la mer, détendez-vous dans la baie des coquillages 
avec cette sublime grotte disposant d’un velux naturel pour vous réveiller 
à la lumière du jour et trempez vos orteils de Hobbits le long de la plage. “",Trou sans fenêtre,non,non,Periode de reproduction des mouthmouths,oui,6,3,100,https://www.connaissancedesarts.com/wp-content/thumbnails/uploads/2022/06/cda22_cr_cosquer_main-tt-width-1200-height-630-fill-0-crop-1-bgcolor-ffffff.jpg,3
Blé-n'oragique,Champ de blé,"
“ Pan-cakes pour 2 personnes : 1 cuillère à c de levure, 150g de farine, 
1 cuillère à s d’huile, 1 cuillère à s de sucre, 1 oeuf de mammouth,
 200ml de lait de pterodactyl. Battre grossièrement le saladier
 sans les ingrédients, ajouter
 le vin rouge, mettre le frigo au four, porter à ébullition,
 laisser reposer 3 lunes et déguster chaud! “
",Caverne Familial,non,non,Periode du de la levure sans thym,oui,0,4,48,"https://cdn.futura-sciences.com/cdn-cgi/image/width=1024,quality=50,format=auto/sources/images/grotte.jpeg",4
Lave Aisselles,Plateau des volcans,"“ Frileux et frileuses, ce logement est idéal pour vous! Disposant de ses 
propres sources chaudes, options épilations définitives, vous saurez apprécier
 ce confort inégalé! D’une superficie de 120m² et de son propre cimetière, 
la solitude ne sera plus qu’un lointain souvenir!”",Trou,non,non,Periode des ragnagnarock,oui,0,1,20,https://cdn.futura-sciences.com/buildsv6/images/largeoriginal/e/7/f/e7fd639168_128613_grotte-cavite-horizontale.jpg,5
La Palom-bières,Forêt des hiboux,"Troimièse vournée de Caldalvos !
Quatripème bournée de Blackvados !!!
HOU-HOU le Biboux",Fosse Commune,oui,oui,Période Nuée des défécation,non,0,3,12,https://www.grottesdefrance.org/grottes-france/uploads/2020/05/grottes-prehistoriques-ISTURITZ-OXOCELHAYA-H-Colonnes-1-1024x683.jpg,6
Sahara malécoum,Dune des sables,"“ Salut à toi aventurier, si toi aussi tu n’as pas peur de ressembler à un livre 
en braille par la déshydratation, ce lieu atypique saura à coup sûr t’aller comme
 une moufle! Situé à 3 jours de Triceratops de Konoha , cette vaste étendue 
de sable te permettra de réaliser tes meilleurs châteaux de sables! “",Grotte fienté,non,non,Periode du ouloulou fé soif,oui,1,1,5,https://www.pourquoidocteur.fr/media/article/vindijacave-1493376376.jpg,7
Cocotte-hière,Prairie des poulemouth,"“MouthMouthRico! le matin se lève, l’odeur du café au Maroille chatouille 
les narines, comment ne pas apprécier ce somptueux lieux de vacances 
entièrement construit en plumes de PouleMouth? ",GrotteMoute,oui,oui,Toutes les lunes,non,0,6,20,https://www.cavernes-saintonge.info/paleo/x21rmgl.jpg,8
Le Change-draps,Champ des pissenlits,"“ Logement inspiré de l’architecture d'une fiction Parisienne, ce logement 
de -3m² dispose d’un magnifique bidet incrusté dans le lit rocheux, 
afin de gagner un temps précieux pour les envies pressantes. “",GrotteMoute,oui,oui,La rosée du pisse-en-lit,non,0,3,51,https://www.tourisme-hautes-pyrenees.com/var/ezflow_site/storage/images/media/images/patrimoine/grotte-et-gouffre/grotte-de-labastide3/88097-1-fre-FR/Grotte-de-Labastide_format_603x400.jpg,9
La fiente tombée,Rivage des mouettes,"
“ Si tu lis ceci, t’es un bro, parce-que franchement écrire tout ça pour que 
personne ne lise ça me donne des envies de Christophe Maé. “
",Trou,oui,oui,Un jour sans fiente,non,0,4,100,https://cdn.iris-etourism.io/uploads/bastides_gorges_aveyron/260/tfo18963687213-tfo18963687213-17a-p6181377.webp,10
